category_key,product_key,name_es,name_tr,name_en,description_es,description_tr,description_en,price_eur,ingredients_es,ingredients_tr,ingredients_en,allergens_csv,calories,spice_level,badge_es,badge_tr,badge_en,is_signature,is_anchor,is_available,sales_priority,order_index,image_filename
principales,kebab-rollo-menu,Kebab rollo menu,Kebap Durum Menu,Kebab wrap menu,Rollo kebab con patatas y bebida.,Kebap durum patates ve icecek ile.,Kebab wrap with fries and drink.,8.50,rollo|patatas|bebida,durum|patates|icecek,wrap|fries|drink,gluten,930,1,Eleccion del chef,Sefin Secimi,Chef's Choice,true,false,true,98,110,kebab-rollo-menu.jpg
fast-food,hamburguesa-pollo-menu,Hamburguesa pollo menu,Tavuk Burger Menu,Chicken burger menu,Hamburguesa de pollo con patatas y bebida.,Tavuk burger patates ve icecek ile.,Chicken burger with fries and drink.,7.50,pollo|pan|patatas,pilic|ekmek|patates,chicken|bread|fries,gluten|egg,880,0,,,,false,false,true,74,10,hamburguesa-pollo-menu.jpg
fast-food,rollo-pequeno,Rollo pequeno,Kucuk Durum,Small wrap,Rollo pequeno de kebab para una opcion ligera.,Hafif porsiyon icin kucuk kebap durum.,Small kebab wrap for a lighter option.,4.50,carne kebab|verduras|salsa,et doner|yesillik|sos,kebab meat|greens|sauce,gluten,470,1,,,,false,false,true,70,20,rollo-pequeno.jpg
fast-food,falafel,Falafel,Falafel,Falafel,Croquetas de garbanzo con ensalada y salsa.,Nohut kofte salata ve sos ile.,Chickpea bites with salad and sauce.,6.00,garbanzo|ensalada|salsa,nohut|salata|sos,chickpea|salad|sauce,sesame,540,0,Vegetariano,Vejetaryen,Vegetarian,true,false,true,84,30,falafel.jpg
fast-food,nuggets-pollo,Nuggets de pollo,Tavuk Nuggets,Chicken nuggets,Nuggets crujientes de pollo con salsa.,Citir tavuk parcalari ve dip sos.,Crispy chicken nuggets with dip.,5.50,pollo|rebozado|salsa,tavuk|pane|sos,chicken|breadcrumb|sauce,gluten|egg,520,0,,,,false,false,true,68,40,nuggets-pollo.jpg
fast-food,alitas-pollo,Alitas de pollo,Tavuk Kanat,Chicken wings,Alitas de pollo crujientes con salsa.,Soslu citir tavuk kanatlari.,Crispy chicken wings with sauce.,6.50,alitas|especias|salsa,tavuk kanat|baharat|sos,wings|spices|sauce,,690,2,,,,false,false,true,76,50,alitas-pollo.jpg
fast-food,aros-cebolla,Aros de cebolla,Sogan Halkasi,Onion rings,Aros de cebolla dorados y crujientes.,Altin renkli citir sogan halkalari.,Golden crispy onion rings.,4.00,cebolla|rebozado,sogan|pane,onion|breadcrumb,gluten,430,0,,,,false,false,true,58,60,aros-cebolla.jpg
fast-food,patatas-fritas,Patatas fritas,Patates Kizartmasi,French fries,Patatas fritas clasicas y crujientes.,Klasik citir patates kizartmasi.,Classic crispy french fries.,3.50,patatas,patates,potatoes,,390,0,,,,false,false,true,64,70,patatas-fritas.jpg
fast-food,patatas-deluxe,Patatas deluxe,Deluxe Patates,Deluxe potatoes,Patatas especiadas con salsa especial.,Baharatli deluxe patates ve ozel sos.,Seasoned deluxe potatoes with special sauce.,4.50,patatas|especias|salsa,patates|baharat|sos,potatoes|spices|sauce,milk,510,1,Mas pedido,En Sevilen,Most ordered,false,false,true,82,80,patatas-deluxe.jpg
fast-food,papas-horno,Papas al horno,Firin Patates,Baked potato,Papa al horno con salsa y topping caliente.,Firin patates sos ve sicak garnitur ile.,Baked potato with sauce and warm topping.,5.50,papa|salsa|topping,patates|sos|garnitur,potato|sauce|topping,milk,620,0,,,,false,false,true,66,90,papas-horno.jpg
especiales,pizza-kebab,Pizza kebab,Kebap Pizza,Kebab pizza,Pizza con carne kebab salsa y queso fundido.,Kebap eti ile hazirlanan bol malzemeli pizza.,Pizza with kebab meat sauce and melted cheese.,8.90,masa|carne kebab|queso,hamur|kebap eti|peynir,dough|kebab meat|cheese,gluten|milk,940,1,Eleccion del chef,Sefin Secimi,Chef's Choice,true,false,true,91,10,pizza-kebab.jpg
especiales,iskender-kebab,Iskender kebab,Iskender Kebap,Iskender kebab,Carne kebab sobre pan con yogur y salsa de tomate.,Kebap eti ekmek ustu yogurt ve domates sos ile.,Kebab meat over bread with yogurt and tomato sauce.,10.90,carne kebab|pan|yogur,et doner|pide|yogurt,kebab meat|bread|yogurt,gluten|milk,880,1,Premium,Premium,Premium,false,true,true,89,20,iskender-kebab.jpg
postres,dulce-pistacho,Dulce pistacho,Antep Fistikli Tatli,Pistachio dessert,Dulce de pistacho con toque turco.,Fistikli serbetli tatli.,Pistachio dessert with a Turkish touch.,3.50,pistacho|masa|almibar,fistik|hamur|serbet,pistachio|dough|syrup,gluten|nuts,360,0,,,,false,false,true,74,10,dulce-pistacho.jpg
postres,dulce-nueces,Dulce nueces,Cevizli Tatli,Walnut dessert,Dulce con nueces ideal para terminar.,Cevizli tatli kahve sonrasi icin ideal.,Walnut dessert ideal to finish the meal.,3.50,nueces|masa|almibar,ceviz|hamur|serbet,walnuts|dough|syrup,gluten|nuts,380,0,,,,false,false,true,70,20,dulce-nueces.jpg
bebidas,refrescos,Refrescos,Gazli Icecekler,Soft drinks,Bebidas frias en lata.,Soguk kutu icecek secenekleri.,Cold canned soft drinks.,2.00,refresco,icecek,soft drink,,140,0,,,,false,false,true,76,10,refrescos.jpg
bebidas,agua,Agua,Su,Water,Botella de agua fria.,Soguk sise su.,Cold bottled water.,1.50,agua,su,water,,0,0,,,,false,false,true,68,20,agua.jpg
bebidas,cerveza,Cerveza,Bira,Beer,Cerveza fria.,Soguk bira secenegi.,Cold beer.,2.50,cerveza,bira,beer,gluten,150,0,,,,false,false,true,54,30,cerveza.jpg
bebidas,efes,Efes,Efes,Efes,Cerveza Efes bien fria.,Soguk Efes birasi.,Cold Efes beer.,2.50,cerveza,bira,beer,gluten,150,0,,,,false,false,true,56,40,efes.jpg
